#######################
##
## License goes here
##
#######################
a	ɑ
freedefeier	fʀeːdəfɑɪɐ
fréi	fʀɜɪ
freideg	fʀɑɪdəɕ
freides	fʀɑɪdəs
freie	fʀɑɪə
freien	fʀɑɪən
freier	fʀɑɪɐ
fréier	fʀɜɪɐ
fréiere	fʀɜɪəʀə
fréieren	fʀɜɪəʀən
freiesch	fʀɑɪəʃ
fréijor	fʀɜɪjoːʀ
frell	fʀæl
frënd	fʀənt
frëndin	fʀəndin
frëndlech	fʀəndləɕ
frëndschaft	fʀəntʃɑft
frëndschaftlech	fʀəntʃɑftləɕ
frësch	fʀəʃ
frettche	fʀætɕə
frettchen	fʀætɕən
fridde	fʀidə
fridden	fʀidən
friddlech	fʀidləɕ
friem	fʀiəm
frieme	fʀiəmə
friemen	fʀiəmən
friesse	fʀiəsə
friessen	fʀiəsən
frigidaire	fʀiʒidɛːʀ
frigo	fʀigoː
fritt	fʀit
frittebud	fʀitəbuːt
fro	fʀoː
froe	fʀoːə
froen	fʀoːən
fromm	fʀom
fronze	fʀontsə
fronzen	fʀontsən
frou	fʀəʊ
fruchtbar	fʀuχtbaːʀ
fruucht	fʀuːχt
fuddele	fudələ
fuddelen	fudələn
fudder	fudɐ
fuebele	fuəbələ
fuebelen	fuəbələn
fuedem	fuədəm
fuendel	fuəndəl
fuerchtbar	fuːɐɕtbaːʀ
fuerdere	fuːɐdəʀə
fuerderen	fuːɐdəʀən
fuere	fuːɐʀə
fueren	fuːɐʀən
fuerf	fuːɐf
fuersche	fuːɐʃə
fuerschen	fuːɐʃən
fuerweg	fuːɐvəɕ
fuesbal	fuəsbaːl
fuesent	fuəsənt
fueskostüm	fuəskostym
führerschäin	fyːʀɐʃæːɪn
füllfieder	fylfiədɐ
fummele	fumələ
fummelen	fumələn
fusche	fuʃə
fuschen	fuʃən
futti	futi
futur	fytyːʀ
füügt	fyːɕt
fuuss	fuːs
fuusseg	fuːsəɕ
gaangs	gaːŋs
gaapse	gaːpsə
gaapsen	gaːpsən
gaardeboun	gaːʀdəbəʊn
gaardenhaische	gaːʀdənhɑɪsjə
gaardenhaischen	gaːʀdənhɑɪsjən
gaart	gaːʀt
gaascht	gaːʃt
gaaschtfrëndlech	gaːʃtfʀəndləɕ
gaass	gaːs
gäertner	gɛːɐtnɐ
gaffe	gɑf
gäissel	gæːɪsəl
gäizeg	gæːɪtsəɕ
gäizhals	gæːɪtshɑls
gakeg	gaːkəɕ
gal	gaːl
gangster	gæŋstɐ
gank	gɑŋk
gäns	gæns
ganz	gɑnts
gär	gɛːɐ
garage	gɑʀaːʃ
garagë	gɑʀaːʒə
garagen	gɑʀaːʒən
garantéiere	gɑʀɑ̃ːntɜɪəʀə
garantéieren	gɑʀɑ̃ːntɜɪəʀən
garçon	gɑʀsɑ̃ː
gare	gaːʀ
gas	gaːs
gaston	gɑstɑ̃ː
gebai	gəbɑɪ
gebaier	gəbɑɪɐ
gebastels	gəbɑstəls
gebéck	gəbek
gebeess	gəbeːs
gebeessglas	gəbeːsglaːs
gebëss	gəbəs
gebiet	gəbiət
gebills	gəbils
gebilt	gəbilt
gebimmels	gəbiməls
gebitt	gəbit
gebläers	gəblɛːɐs
gebraddels	gəbʀɑdəls
gebräicher	gəbʀæːɪɕɐ
gebräicherlech	gəbʀæːɪɕɐləɕ
gebrauch	gəbʀæːʊχ
gebrode	gəbʀoːdə
gebroden	gəbʀoːdən
gebuert	gəbuːɐt
gebuertsdag	gəbuːɐtsdaːχ
gebuertsdagskaart	gəbuːɐtsdaːχskaːʀt
gebuertsdagskuch	gəbuːɐtsdaːχskuχ
geck	gæk
geckeg	gækəɕ
geckegkeet	gækəɕkeːt
geckenhaus	gækənhæːʊs
geckse	gæksə
gecksen	gæksən
gedeessems	gədeːsəms
gedéiesch	gədɜɪəʃ
gedëlleg	gədələɕ
gedicht	gədiɕt
gedold	gədolt
gedrécks	gədʀeks
gedrénks	gədʀeŋks
gëeegent	gəeːʑənt
geescht	geːʃt
geeschterbunn	geːʃtɐbun
geess	geːs
gefaangene	gəfaːŋənə
gefaangenen	gəfaːŋənən
gefale	gəfaːlə
gefalen	gəfaːlən
gefälleg	gəfæləɕ
gefecht	gəfæɕt
geféierlech	gəfɜɪɐləɕ
gefill	gəfil
gefor	gəfoːʀ
gëft	gəft
gëfteg	gəftəɕ
gehacktes	gəhɑktəs
gehässeg	gəhæsəɕ
geheie	gəhɑɪə
geheien	gəhɑɪən
gehéier	gəhɜɪɐ
gehéiere	gəhɜɪəʀə
gehéieren	gəhɜɪəʀən
geheim	gəhɑɪm
geheimnes	gəhɑɪmnəs
gehir	gəhiːɐ
gei	gɑɪ
géi	gɜɪ
geier	gɑɪɐ
geiereg	gɑɪəʀəɕ
géigend	gɜɪʑənt
géigendeel	gɜɪʑəndeːl
géigner	gɜɪʑnɐ
géint	gɜɪnt
géintiwwer	gɜɪndivɐ
geisel	gɑɪzəl
gejäiz	gəʑæːɪts
gejirimiris	gəʑiʀimiʀis
gekréngelt	gəkʀeŋəlt
gelänner	gəlænɐ
geld	gælt
geleeënheet	gəleːənheːt
geléierte	gəlɜɪɐtə
geléierten	gəlɜɪɐtən
gelldir	gældiːɐ
gëlle	gələ
gëllen	gələn
gelunge	gəluŋə
gelungen	gəluŋən
geméis	gəmɜɪs
gemeng	gəmæŋ
gemittlech	gəmitləɕ
genau	genɑʊ
genéck	gənek
genee	gəneː
genéiere	ʒənɜɪəʀə
genéieren	ʒənɜɪəʀən
genéisse	gənɜɪsə
genéissen	gənɜɪsən
generique	ʒeːneʀik
genn	gæn
genoss	gənos
gënschteg	gənʃtəɕ
genuch	gənuχ
genug	gənuχ
geographie	ʒeːogʀɑfiː
geometer	ʒeːomeːtɐ
gepäck	gəpæk
gérant	ʒeːʀɑ̃ː
gerechterweis	gəʀæɕtɐwɑɪs
géréiere	ʒeːʀɜɪəʀə
géréieren	ʒeːʀɜɪəʀən
gerënne	gəʀənə
gerënnen	gəʀənən
geriicht	gəʀiːɕt
geroch	gəʀoχ
gerode	gəʀoːdə
geroden	gəʀoːdən
gerücht	gəʀyɕt
geschäft	gəʃæft
geschäftlech	gəʃæftləɕ
geschäftsfra	gəʃæftsfʀaː
geschäftsmann	gəʃæftsmɑn
geschéckerlech	gəʃekɐləɕ
gescheet	gəʃeːt
geschéie	gəʃɜɪə
geschéien	gəʃɜɪən
gescheit	gəʃɑɪt
gescheitheet	gəʃɑɪtheːt
geschicht	gəʃiɕt
geschir	gəʃiːɐ
geschmaach	gəʃmaːχ
gëschter	gəʃtɐ
geschützt	gəʃytst
geschwätz	gəʃwæts
geschwë	gəʃwə
geschwënn	gəʃwən
gesellschaft	gəsælʃɑft
gesetz	gəzæts
gesi	gəzi
gesiicht	gəziːɕt
gesinn	gəzin
gesond	gəzont
gesondheet	gəzontheːt
gespaart	gəʃpaːʀt
gespär	gəʃpɛːɐ
gespenst	gəʃpænst
gespréich	gəʃpʀɜɪɕ
gespréicheg	gəʃpʀɜɪɕəɕ
gest	ʒæst
geständnes	gəʃtæntnəs
gestank	gəʃtɑŋk
geste	ʒæst
gestë	ʒæstə
gestell	gəʃtæl
gesträift	gəʃtʀæːɪft
gestrëpp	gəʃtʀəp
getëppelt	gətəpəlt
gette	gætə
getten	gætən
gewalt	gəvɑlt
gewan	gəvaːn
gewanne	gəvɑnə
gewannen	gəvɑnən
gewei	gəvɑɪ
gewéinlech	gəvɜɪnləɕ
gewësse	gəvəsə
gewëssen	gəvəsən
gewëssenhaft	gəvəsənhɑft
gewëssheet	gəvəsheːt
gewier	gəviːɐ
gewierweg	gəviːɐvəɕ
gewierwegkeet	gəviːɐvəɕkeːt
gewierz	gəviːɐts
gewiicht	gəviːɕt
gewulls	gəvuls
gewunnecht	gəvunəɕt
gezei	gətsɑɪ
gi	gi
gidd	git
giedel	giədəl
giedlech	giədləɕ
giel	giəl
gielzecht	giəltsəɕt
gielzeg	giəltsəɕ
gierkse	giːɐksə
gierksen	giːɐksən
giewel	giəvəl
gilet	ʒileː
ginn	gin
gips	gips
gipser	gipsɐ
giraff	ʒiʀɑf
girland	giʀlɑnt
giss	gis
gitar	gitaːʀ
glace	glɑs
glach	glɑχ
gläich	glæːɪɕ
glas	glaːs
glaspabeier	glaːspɑbɑɪɐ
glat	glaːt
glatz	glɑts
glawen	glaːvən
gléck	glek
glécke	glekə
glécken	glekən
glécklech	glekləɕ
gléckwonsch	glekvonʃ
gleewe	gleːvə
gleeweg	gleːvəɕ
gleewen	gleːvən
gleis	glɑɪs
glënnere	glənəʀə
glënneren	glənəʀən
glëtsche	glətʃə
glëtscheg	glətʃəɕ
glëtschen	glətʃən
glidd	glit
gliddeg	glidəɕ
glieschen	gliəsjən
globus	gloːbus
glous	gləʊs
goe	goːə
goen	goːən
gold	golt
goldfësch	goltfəʃ
golf	golf
gomm	gom
gonscht	gonʃt
gorilla	goːʀilaː
gott	got
gottseidank	gotsɑɪdɑŋk
goudron	gudʀɑ̃ː
goungen	gəʊŋən
goungs	gəʊŋs
goungt	gəʊŋt
goureg	gəʊʀəɕ
goût	guː
grad	gʀaːt
graf	gʀaːf
graff	gʀɑf
gräife	gʀæːɪfə
gräifen	gʀæːɪfən
gräisslech	gʀæːɪsləɕ
gramm	gʀɑm
grand	gʀɑ̃ː
granzeg	gʀɑntsəɕ
grapp	gʀɑp
gras	gʀaːs
gratis	gʀaːtis
gratuléiere	gʀɑtulɜɪəʀə
gratuléieren	gʀɑtulɜɪəʀən
grausam	gʀɑʊsaːm
gravéiere	gʀɑvɜɪəʀə
gravéieren	gʀɑvɜɪəʀən
greef	gʀeːf
greeze	gʀeːtsə
greezen	gʀeːtsən
grëff	gʀəf
gréisst	gʀɜɪst
grell	gʀæl
grëndlech	gʀəndləɕ
gréng	gʀeŋ
gréngelzeg	gʀeŋəltsəɕ
grënne	gʀənə
grënnen	gʀənən
grenz	gʀænts
griichesch	gʀiːɕəʃ
grille	gʀilə
grillen	gʀilən
grimass	gʀimɑs
grimmel	gʀiməl
grinse	gʀinzə
grinsen	gʀinzən
gripp	gʀip
gro	gʀoː
groelzeg	gʀoːəltsəɕ
grog	gʀok
grommele	gʀomələ
grommelen	gʀomələn
gromper	gʀompɐ
gromperenzalot	gʀompəʀəntsɑloːt
gromperepurée	gʀompəʀəpyːʀeː
grond	gʀont
grondwaasser	gʀontvaːsɐ
gronn	gʀon
grossist	gʀosist
grott	gʀot
groupe	gʀup
grouss	gʀəʊs
groussaarteg	gʀəʊzaːʀtəɕ
grousseltere	gʀəʊzæltəʀə
grousselteren	gʀəʊzæltəʀən
groussgaass	gʀəʊsgaːs
groussherzog	gʀəʊshɛʀtsoːχ
groussherzogin	gʀəʊshɛʀtsoːgin
groussjäreg	gʀəʊsjɛːʀəɕ
grued	gʀuət
gruef	gʀuəf
gruewe	gʀuəvə
gruewen	gʀuəvən
grujeleg	gʀuʒələɕ
grupp	gʀup
gruppéiere	gʀupɜɪəʀə
gruppéieren	gʀupɜɪəʀən
guckucksblumm	gukuksblum
gued	guət
guergel	guəʑəl
guert	guːɐt
guichet	giʃeː
guidë	giːdə
guide	giːt
guiden	giːdən
guineër	gineːɐ
guineërin	gineːəʀin
gumm	gum
gummi	gumi
güterzuch	gyːtɐtsuχ
gutt	gut
guttaarteg	gudaːʀtəɕ
guttheesche	gutheːʃə
guttheeschen	gutheːʃən
guttheet	gutheːt
haapt	haːpt
haaptsaach	haːptsaːχ
haaptsächlech	haːptsæɕləɕ
haaptstad	haːptʃtaːt
haart	haːʀt
haarz	haːʀts
haascht	haːʃt
haass	haːs
haasse	haːsə
haassen	haːsən
hae	haːə
haen	haːən
häerz	hɛːɐts
häerzche	hɛːɐtsjə
häerzchen	hɛːɐtsjən
häerzeg	hɛːɐtsəɕ
häerzi	hɛːɐtsiː
häerzkrank	hɛːɐtskʀɑŋk
hafe	haːfə
hafen	haːfən
haff	hɑf
haifësch	hɑɪfəʃ
häip	hæːɪp
haische	hɑɪsjə
haischen	hɑɪsjən
hale	haːlə
halen	haːlən
häll	hæl
hall	hɔːl
hallef	hɑləf
hallefnuecht	hɑləfnuəɕt
hallefstonn	hɑləfʃton
hallem	hɑləm
hällewull	hæləvul
hals	hɑls
halschent	hɑlʃənt
halswéi	hɑlsvɜɪ
halt	hɑlt
halwe	hɑlvə
halwen	hɑlvən
halwer	hɑlvɐ
ham	haːm
hambier	hɑmbiːɐ
hamburger	hɑmbuʀgɐ
hämmche	hæmɕə
hämmchen	hæmɕən
hammel	hɑməl
hämmelfleesch	hæməlfleːʃ
hampelmann	hɑmpəlmɑn
hamster	hɑmstɐ
hamstere	hɑmstəʀə
hamsteren	hɑmstəʀən
hand	hɑnt
handduch	hɑntduχ
handele	hɑndələ
handelen	hɑndələn
handgelenk	hɑntgəlæŋk
händler	hændlɐ
händsch	hæntʃ
handschelle	hɑntʃælə
handschellen	hɑntʃælən
handwierker	hɑntviːɐkɐ
handwierksgeschir	hɑntviːɐksgəʃiːɐ
hänk	hæŋk
hänke	hæŋkə
hänken	hæŋkən
hanne	hɑnə
hannelaanscht	hɑnəlaːnʃt
hannen	hɑnən
hannendrun	hɑnəndʀun
hannergrond	hɑnɐgʀont
hannert	hɑnɐt
hannerwands	hɑnɐvɑnts
hannerwenneg	hɑnɐvænəɕ
hannerzeg	hɑnɐtsəɕ
hännes	hænəs
happ	hɑp
har	haːʀ
här	hɛːɐ
harespel	haːʀæspəl
haseleg	hɑzələɕ
haule	hæːʊlə
haulen	hæːʊlən
haus	hæːʊs
hausdéiere	hæːʊsdɜɪəʀə
hausdéieren	hæːʊsdɜɪəʀən
hausdier	hæːʊsdiːɐ
hausfra	hæːʊsfʀaː
hausschlëssel	hæːʊsʃləsəl
haut	hæːʊt
haut	hɑʊt
hautdesdaags	hɑʊtəsdaːχs
héchstens	hekstəns
heck	hæk
hee	heː
heed	heːt
heefeg	heːfəɕ
heehapp	heːhɑp
heekele	heːkələ
heekelen	heːkələn
heel	heːl
heem	heːm
heemele	heːmələ
heemelen	heːmələn
heemfuere	heːmfuːɐʀə
heemfueren	heːmfuːɐʀən
heemgoe	heːmgoːə
heemgoen	heːmgoːən
heemkomme	heːmkomə
heemkommen	heːmkomən
heemlech	heːmləɕ
heepst	heːpst
hees	heːs
heesche	heːʃə
heeschemann	heːʃəmɑn
heeschen	heːʃən
heesprénger	heːʃpʀeŋɐ
hëff	həf
heft	hæft
hei	hɑɪ
heiansdo	hɑɪɑnsdoː
heibanne	hɑɪbɑnə
heibannen	hɑɪbɑnən
heibausse	hɑɪbæːʊsə
heibaussen	hɑɪbæːʊsən
héich	hɜɪɕ
héicht	hɜɪɕt
héiere	hɜɪəʀə
héieren	hɜɪəʀən
héierenk	hɜɪəʀeŋk
heifir	hɑɪfiːɐ
héiflech	hɜɪfləɕ
héiflechkeet	hɜɪfləɕkeːt
heihin	hɑɪhin
héijen	hɜɪʑən
heizkierper	hɑɪtskiəpɐ
heizung	hɑɪtsuŋ
helikopter	helikoptɐ
hell	hæl
hëllef	hələf
hëllefe	hələfə
hëllefen	hələfən
helleg	hæləɕ
hellewech	hæləvæɕ
helm	hælm
hëlze	həltsə
hëlzen	həltsən
hemmung	hæmuŋ
héngerdéif	heŋɐdɜɪf
héngerjuck	heŋɐʑuk
henker	hæŋkɐ
hënner	hənɐ
hënnere	hənəʀə
hënneren	hənəʀən
hënnescht	hənəʃt
hënt	hənt
herno	hɛːɐnoː
herrgott	hɛːɐgot
herrgottsfréi	hɛːɐgotsfʀɜɪ
hetz	hæts
hëtze	hətsə
hëtzen	hətsən
hëtzt	hətst
hex	hæks
hexerei	hæksəʀɑɪ
hick	hik
hickecht	hikəɕt
hidde	hidə
hidden	hidən
hie	hiə
hiecht	hiːəɕt
hiefamm	hiːəvɑm
hiel	hiəl
hielänner	hiəlænɐ
hiem	hiəm
hiemche	hiəmɕə
hiemchen	hiəmɕən
hien	hiən
hier	hiːɐ
hierk	hiːɐk
hierkomme	hiːɐkomə
hierkommen	hiːɐkomən
hierscht	hiːɐʃt
hiert	hiːɐt
hieselnoss	hiəsəlnos
hieselter	hiəzəltɐ
hiewe	hiəvə
hiewel	hiəvəl
hiewen	hiəvən
hifuere	hifuːɐʀə
hifueren	hifuːɐʀən
hikomme	hikomə
hikommen	hikomən
hileeën	hileːən
him	him
himmel	himəl
himmelblo	himəlbloː
himmlesch	himləʃ
hinne	hinə
hinnen	hinən
hinsicht	hinziɕt
hippe	hipə
hippen	hipən
hir	hiːɐ
hirsch	hiʀʃ
hirschuel	hiːɐʃuəl
hisiicht	hiziːɕt
histelle	hiʃtælə
histellen	hiʃtælən
hiwwel	hivəl
hochzäit	hoχtsæːɪt
hochzäitsdag	hoχtsæːɪtsdaːχ
hocker	hokɐ
hoer	hoːɐ
hoerbiischt	hoːɐbiːʃt
hoereg	hoːəʀəɕ
hoffe	hofə
hoffen	hofən
hoffentlech	hofəntləɕ
hoffnung	hofnuŋ
holland	holɑnt
hollännesch	holænəʃ
holz	holts
holzbock	holtsbok
homard	homaːʀ
hond	hont
hondsfrieme	hontsfʀiəmə
hondsfriemen	hontsfʀiəmən
hondsfriesse	hontsfʀiəsə
hondsfriessen	hontsfʀiəsən
hondsgewéinlech	hontsgəvɜɪnləɕ
hondshaische	hontshɑɪsjə
hondshaischen	hontshɑɪsjən
hondsléngt	hontsleŋt
hong	hoŋ
honger	hoŋɐ
hongereg	hoŋəʀəɕ
honnert	honɐt
hörer	høːʀɐ
hotel	oːtæl
houer	həʊɐ
houfert	həʊfɐt
houfreg	həʊfʀəɕ
houscht	həʊʃt
houschte	həʊʃtə
houschten	həʊʃtən
housecker	həʊsekɐ
housse	hus
hu	hu
huddele	hudələ
huddelen	hudələn
huel	huəl
huele	huələ
huelen	huələn
huerele	huːɐʀələ
huerelen	huːɐʀələn
huerteg	huːɐtəɕ
hues	huəs
huesenziwwi	huəsəntsiviː
huewer	huəvɐ
huewerbräi	huəvɐbʀæːɪ
huff	huf
hummer	humɐ
hummere	huməʀə
hummeren	huməʀən
humpe	humpə
humpen	humpən
humus	huːmus
hunn	hun
hunneg	hunəɕ
huppe	hupə
huppen	hupən
hutt	hut
huwwel	huvəl
huwwele	huvələ
huwwelen	huvələn
huwwelspoun	huvəlʃpəʊn
iddi	idiː
iech	iəɕ
ielebou	iələbəʊ
ier	iɐ
ierbes	iɐbəs
ierflech	iɐfləɕ
ierfschaft	iɐfʃɑft
iergend	iɐʑənt
iergendwou	iɐʑəntvəʊ
ierger	iɐʑɐ
iergere	iɐʑəʀə
iergeren	iɐʑəʀən
iergerlech	iɐʑɐləɕ
iertum	iɐtum
ierwe	iɐvə
ierwen	iɐvən
ierz	iɐts
iesel	iəzəl
iesse	iəsə
iessekascht	iəsekɑʃt
iessen	iəsən
iesses	iəsəs
iesswuere	iəsvuːɐʀə
iesswueren	iəsvuːɐʀən
iesszëmmer	iəstsəmɐ
iewel	iəvəl
iewescht	iəvəʃt
ieweschte	iəvəʃtə
ieweschten	iəvəʃtən
igel	igəl
ignoréiere	iɲoːʀɜɪəʀə
ignoréieren	iɲoːʀɜɪəʀən
illusioun	ilusjəʊn
illustréiert	ilustʀɜɪɐt
immens	imæns
impfe	impfə
impfen	impfən
impfung	impfuŋ
import	impɔʀt
indianer	indiaːnɐ
industrie	industʀiː
infam	infaːm
infinitiv	infinitiːf
infirmier	ɛ̃ːfiʀmjeː
informatik	infɔʀmaːtik
ingenieur	ɛ̃ːʒənjœːʀ
insekt	inzækt
insel	inzəl
installateur	ɛ̃ːstɑlɑtœːʀ
instanz	instɑnts
int	int
intche	intɕə
intchen	intɕən
interview	intɛʀvjuː
intim	intiːm
intressant	intʀæsɑnt
intressi	intʀæsi
inversioun	invɛʀzjəʊn
investigatioun	invæstigatsjəʊn
invitatioun	ɛ̃ːvitɑsjəʊn
invitéiere	ɛ̃ːvitɜɪəʀə
invitéieren	ɛ̃ːvitɜɪəʀən
ire	iːʀə
iren	iːʀən
italie	itaːliə
italien	itaːljən
italienesch	itɑljeːnəʃ
iwregens	ivʀəʑəns
iwwel	ivəl
iwwer	ivɐ
iwwerall	ivəʀɑl
iwwerbake	ivɐbaːkə
iwwerbaken	ivɐbaːkən
iwwerbléck	ivɐblek
iwwerdeems	ivɐdeːms
iwwerdreiwe	ivɐdʀɑɪvə
iwwerdreiwen	ivɐdʀɑɪvən
iwwerdroe	ivɐdʀoːə
iwwerdroen	ivɐdʀoːən
iwwerenee	ivəʀəneː
iwwereneen	ivəʀəneːn
iwwerfale	ivɐfaːlə
iwwerfalen	ivɐfaːlən
iwwerfloss	ivɐflos
iwwerfuere	ivɐfuːɐʀə
iwwerfueren	ivɐfuːɐʀən
iwwergi	ivɐgi
iwwerginn	ivɐgin
iwwerhaapt	ivɐhaːpt
iwwerhuele	ivɐhuələ
iwwerhuelen	ivɐhuələn
iwwerleeën	ivɐleːən
iwwerliewe	ivɐliəvə
iwwerliewen	ivɐliəvən
iwwermar	ivɐmaːʀ
iwwermuer	ivɐmuːɐ
iwwerrasche	ivəʀɑʃə
iwwerraschen	ivəʀɑʃən
iwwerraschung	ivəʀɑʃuŋ
iwwerreeche	ivəʀeːɕə
iwwerreechen	ivəʀeːɕən
iwwerrenne	ivəʀænə
iwwerrennen	ivəʀænən
iwwerriede	ivəʀiədə
iwwerrieden	ivəʀiədən
iwwerschrëft	ivɐʃʀəft
iwwerschwemmung	ivɐʃwæmuŋ
iwwersetze	ivɐzætsə
iwwersetzen	ivɐzætsən
iwwersiicht	ivɐziːɕt
iwwersprange	ivɐʃpʀɑŋə
iwwersprangen	ivɐʃpʀɑŋən
iwwerstonn	ivɐʃton
iwwert	ivɐt
iwwerustrengung	ivɐuʃtʀæŋuŋ
iwwerwaache	ivɐvaːχə
iwwerwaachen	ivɐvaːχən
iwwerzeege	ivɐtseːʑə
iwwerzeegen	ivɐtseːʑən
iwwerzeegung	ivɐtseːʑuŋ
ja	jaː
jackett	ʒɑkæt
jäize	ʑæːɪtsə
jäizeg	ʑæːɪtsəɕ
jäizen	ʑæːɪtsən
jalous	ʒɑləʊs
jalousheet	ʒɑləʊsheːt
jalousie	ʒɑluziː
januar	ʑɑnuaːʀ
jarnéier	ʒaːʀnɜɪɐ
jatte	ʒɑt
jauwe	ʑɑʊvə
jauwen	ʑɑʊvən
jeans	dʒiːns
jeeër	jeɐ
jeeërlech	jeːɐləɕ
jéimere	ʑɜɪməʀə
jéimeren	ʑɜɪməʀən
jelli	ʒeli
jéngelche	ʑeŋəlɕə
jéngelchen	ʑeŋəlɕən
jéngste	ʑeŋstə
jéngsten	ʑeŋstən
jesus	jeːzus
jick	ʑik
jicke	ʑikə
jicken	ʑikən
jiddefalls	ʑidəfɑls
jidder	ʑidɐ
jidderee	ʑidəʀeː
jiddereen	ʑidəʀeːn
jiddweree	ʑidfəʀeː
jiddwereen	ʑidfəʀeːn
jilli	ʒiliː
jinsseg	ʑinsəɕ
jo	joː
joe	joːə
joen	joːən
joer	joːɐ
joffer	jofɐ
jogge	dʒogə
joggen	dʒogən
jogurth	juguʀt
jong	joŋ
jonggesell	joŋgəzæl
jongleur	ʒɑ̃ːglœːʀ
jonk	joŋk
jor	joːʀ
jorelaang	joːʀelaːŋ
jorhonnert	joːʀhonɐt
joshgun	ʒoʃgun
journalist	ʒuʀnaːlist
judd	jut
judo	juːdoː
juegd	juəɕt
jugend	juːʁənt
jugendherberg	juːʁənthɛʀbɛʀɕ
juli	ʑuːli
juni	ʑuːni
jupe	ʒyp
jupon	ʒypɑ̃ː
jus	ʒyː
just	ʒust
ka	kɑ
kaart	kaːʀt
kabel	kaːbəl
kabes	kaːbəs
kach	kɑχ
kachbuch	kɑχbuχ
kachcours	kɑχkuːɐ
kachdëppe	kɑχdəpə
kachdëppen	kɑχdəpən
käche	kæɕə
kache	kɑχə
kachegliddeg	kɑχəglidəɕ
kächen	kæɕən
kachen	kɑχən
kachmaschinn	kɑχmɑʃin
kackelack	kɑkəlɑk
kackuett	kɑkwæt
kadaver	kɑdaːvɐ
kader	kaːdɐ
käerche	kɛːɐɕə
käerchen	kɛːɐɕən
käerz	kɛːɐts
kaf	kaːf
kafe	kaːfə
käfeg	kɛːfəɕ
kafen	kaːfən
kaffi	kɑfiː
kaffisbiz	kɑfiːsbiːts
kaffisläffelche	kɑfiːslæfəlɕə
kaffisläffelchen	kɑfiːslæfəlɕən
kaffismille	kɑfiːsmilə
kaffismillen	kɑfiːsmilən
käiche	kæːɪɕə
käichen	kæːɪɕən
kakao	kɑkɑoː
kal	kaːl
kalbass	kɑlbɑs
kalbliddeg	kaːlblidəɕ
kalenner	kɑlænɐ
kall	kɑl
kallef	kɑləf
kalleffleesch	kɑləffleːʃ
kallefskotlett	kɑləfskotlæt
kallek	kɑlek
kalzong	kɑltsoŋ
kamäin	kɑmæːɪn
kaméidi	kɑmɜɪdi
kaméil	kɑmɜɪl
kamell	kɑmæl
kamera	kɑmeːʀaː
kämme	kæmə
kämmen	kæmən
kammoud	kɑməʊt
kammoudheet	kɑməʊtheːt
kamomill	kɑmomil
kamp	kɑmp
kampf	kɑmpf
kämpfe	kæmpfə
kämpfen	kæmpfən
kämpfer	kæmpfɐ
kan	kaːn
kanal	kɑnaːl
kanarievull	kɑnaːʀiəful
kand	kɑnt
kanddaf	kɑntdaːf
kanéngche	kɑneŋɕə
kanéngchen	kɑneŋɕən
känguruh	kæŋguʀuː
kannereg	kɑnəʀəɕ
kannerkutsch	kɑnɐkutʃ
kannerzëmmer	kɑnɐtsəmɐ
kantin	kɑntin
kap	kaːp
kapéiere	kɑpɜɪəʀə
kapéieren	kɑpɜɪəʀən
kaper	kaːpɐ
kapëtche	kɑpətɕə
kapëtchen	kɑpətɕən
kapitel	kɑpitəl
kapp	kɑp
kappkësse	kɑpkəsə
kappkëssen	kɑpkəsən
kappsprong	kɑpʃpʀoŋ
kappwéi	kɑpvɜɪ
kappzich	kɑptsiɕ
kar	kaːʀ
kär	kɛːɐ
karaff	kɑʀɑf
karate	kɑʀaːteː
karblumm	kaːʀblum
karéiert	kɑʀɜɪɐt
kärel	kɛːʀəl
kärgesond	kɛːɐgəzont
karmell	kɑʀmæl
karo	kaːʀoː
karschnatz	kaːʀʃnɑts
kartong	kɑχtoŋ
kartongskëscht	kɑχtoŋskəʃt
kasär	kɑzɛːʀ
käscht	kæʃt
kascht	kɑʃt
kaschte	kɑʃtə
käschtebam	kæʃtəbaːm
kaschten	kɑʃtən
kassett	kɑsæt
kassroll	kɑsʀol
katastrof	kɑtɑstʀoːf
kathoulesch	kɑtəʊləʃ
katze	kɑtsə
katzen	kɑtsən
kaum	kæːʊm
kauzekapp	kæːʊtsəkɑp
kaviar	kɑviaːʀ
kaweechelche	kɑveːɕəlɕə
kaweechelchen	kɑveːɕəlɕən
kaz	kaːts
këddele	kədələ
këddeleg	kədələɕ
këddelen	kədələn
kee	keː
keefer	keːfɐ
keel	keːl
keeleklatz	keːləklɑts
keelt	keːlt
keen	keːn
kees	keːs
keeser	keːzɐ
keess	keːs
kéidreck	kɜɪdʀæk
kéier	kɜɪɐ
keime	kɑɪmə
keimen	kɑɪmən
kéis	kɜɪs
kéisecker	kɜɪsekɐ
kéisrapp	kɜɪsʀɑp
kéistupp	kɜɪʃtup
keller	kælɐ
kellertrap	kælɐtʀaːp
këndche	kəntɕə
këndchen	kəntɕən
keng	kæŋ
kéng	keŋ
kénge	keŋə
kéngen	keŋən
kéngheet	keŋheːt
kënn	kən
kenne	kænə
kënne	kənə
kënneg	kənəɕ
kënnege	kənəʑə
kënnegen	kənəʑən
kennen	kænən
kënnen	kənən
kennschaft	kænʃɑft
kënschtlech	kənʃtləɕ
kënschtler	kənʃtlɐ
këscht	kəʃt
kësse	kəsə
këssen	kəsən
kette	kætə
